dataset_name,selected_k,silhouette_score,cluster_id,cluster_size,percentage_of_data
CENSUS_POPULATION_AREA,5,0.5517,0,7109,35.55
CENSUS_POPULATION_AREA,5,0.5517,1,2,0.01
CENSUS_POPULATION_AREA,5,0.5517,2,12796,63.99
CENSUS_POPULATION_AREA,5,0.5517,3,90,0.45
CENSUS_POPULATION_AREA,5,0.5517,4,1,0.01
INDIA_CENSUS_2011,2,0.4506,0,469,73.28
INDIA_CENSUS_2011,2,0.4506,1,171,26.72
NFHS_5_FACTSHEETS,3,0.1313,0,62,55.86
NFHS_5_FACTSHEETS,3,0.1313,1,39,35.14
NFHS_5_FACTSHEETS,3,0.1313,2,10,9.01
TOURISM_STATISTICS,2,0.8447,0,82,98.8
TOURISM_STATISTICS,2,0.8447,1,1,1.2
