dataset_name,feature_1,feature_2,pearson_correlation,abs_correlation
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_2,0.9783,0.9783
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_3,0.2408,0.2408
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_7,-0.0293,0.0293
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_8,-0.0327,0.0327
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_9,-0.0172,0.0172
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_10,-0.0236,0.0236
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_11,-0.0272,0.0272
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_12,-0.0277,0.0277
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_13,-0.0267,0.0267
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_14,-0.0236,0.0236
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_15,-0.0691,0.0691
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_3,0.2396,0.2396
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_7,-0.0462,0.0462
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_8,-0.0478,0.0478
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_9,-0.0387,0.0387
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_10,-0.0459,0.0459
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_11,-0.0481,0.0481
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_12,-0.0484,0.0484
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_13,-0.0477,0.0477
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_14,-0.0424,0.0424
CENSUS_POPULATION_AREA,COLUMN_2,COLUMN_15,-0.0762,0.0762
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_7,-0.0142,0.0142
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_8,-0.0143,0.0143
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_9,-0.0105,0.0105
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_10,-0.0083,0.0083
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_11,-0.0093,0.0093
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_12,-0.0093,0.0093
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_13,-0.0093,0.0093
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_14,-0.0135,0.0135
CENSUS_POPULATION_AREA,COLUMN_3,COLUMN_15,0.0721,0.0721
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_8,0.9934,0.9934
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_9,0.4913,0.4913
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_10,0.9425,0.9425
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_11,0.9483,0.9483
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_12,0.9475,0.9475
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_13,0.949,0.949
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_14,0.9884,0.9884
CENSUS_POPULATION_AREA,COLUMN_7,COLUMN_15,-0.0093,0.0093
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_9,0.4858,0.4858
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_10,0.9357,0.9357
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_11,0.9434,0.9434
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_12,0.9428,0.9428
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_13,0.944,0.944
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_14,0.9721,0.9721
CENSUS_POPULATION_AREA,COLUMN_8,COLUMN_15,-0.0086,0.0086
CENSUS_POPULATION_AREA,COLUMN_9,COLUMN_10,0.7437,0.7437
CENSUS_POPULATION_AREA,COLUMN_9,COLUMN_11,0.7323,0.7323
CENSUS_POPULATION_AREA,COLUMN_9,COLUMN_12,0.7335,0.7335
CENSUS_POPULATION_AREA,COLUMN_9,COLUMN_13,0.7309,0.7309
CENSUS_POPULATION_AREA,COLUMN_9,COLUMN_14,0.5197,0.5197
CENSUS_POPULATION_AREA,COLUMN_9,COLUMN_15,0.0144,0.0144
CENSUS_POPULATION_AREA,COLUMN_10,COLUMN_11,0.9991,0.9991
CENSUS_POPULATION_AREA,COLUMN_10,COLUMN_12,0.9989,0.9989
CENSUS_POPULATION_AREA,COLUMN_10,COLUMN_13,0.9992,0.9992
CENSUS_POPULATION_AREA,COLUMN_10,COLUMN_14,0.948,0.948
CENSUS_POPULATION_AREA,COLUMN_10,COLUMN_15,0.0063,0.0063
CENSUS_POPULATION_AREA,COLUMN_11,COLUMN_12,1.0,1.0
CENSUS_POPULATION_AREA,COLUMN_11,COLUMN_13,1.0,1.0
CENSUS_POPULATION_AREA,COLUMN_11,COLUMN_14,0.95,0.95
CENSUS_POPULATION_AREA,COLUMN_11,COLUMN_15,0.0058,0.0058
CENSUS_POPULATION_AREA,COLUMN_12,COLUMN_13,0.9999,0.9999
CENSUS_POPULATION_AREA,COLUMN_12,COLUMN_14,0.949,0.949
CENSUS_POPULATION_AREA,COLUMN_12,COLUMN_15,0.006,0.006
CENSUS_POPULATION_AREA,COLUMN_13,COLUMN_14,0.9509,0.9509
CENSUS_POPULATION_AREA,COLUMN_13,COLUMN_15,0.0055,0.0055
CENSUS_POPULATION_AREA,COLUMN_14,COLUMN_15,-0.0098,0.0098
INDIA_CENSUS_2011,DISTRICT_CODE,POPULATION,0.1676,0.1676
INDIA_CENSUS_2011,DISTRICT_CODE,MALE,0.1494,0.1494
INDIA_CENSUS_2011,DISTRICT_CODE,FEMALE,0.1869,0.1869
INDIA_CENSUS_2011,DISTRICT_CODE,LITERATE,0.2248,0.2248
INDIA_CENSUS_2011,DISTRICT_CODE,WORKERS,0.2763,0.2763
INDIA_CENSUS_2011,DISTRICT_CODE,MALE_WORKERS,0.2123,0.2123
INDIA_CENSUS_2011,DISTRICT_CODE,FEMALE_WORKERS,0.3872,0.3872
INDIA_CENSUS_2011,DISTRICT_CODE,CULTIVATOR_WORKERS,0.0408,0.0408
INDIA_CENSUS_2011,DISTRICT_CODE,AGRICULTURAL_WORKERS,0.309,0.309
INDIA_CENSUS_2011,DISTRICT_CODE,HOUSEHOLD_WORKERS,0.0792,0.0792
INDIA_CENSUS_2011,DISTRICT_CODE,HINDUS,0.2093,0.2093
INDIA_CENSUS_2011,DISTRICT_CODE,MUSLIMS,-0.0288,0.0288
INDIA_CENSUS_2011,DISTRICT_CODE,CHRISTIANS,0.2821,0.2821
INDIA_CENSUS_2011,DISTRICT_CODE,SIKHS,-0.2765,0.2765
INDIA_CENSUS_2011,DISTRICT_CODE,BUDDHISTS,0.177,0.177
INDIA_CENSUS_2011,DISTRICT_CODE,JAINS,0.1287,0.1287
INDIA_CENSUS_2011,DISTRICT_CODE,SECONDARY_EDUCATION,0.2903,0.2903
INDIA_CENSUS_2011,DISTRICT_CODE,HIGHER_EDUCATION,0.2136,0.2136
INDIA_CENSUS_2011,DISTRICT_CODE,GRADUATE_EDUCATION,0.2041,0.2041
INDIA_CENSUS_2011,DISTRICT_CODE,AGE_GROUP_0_29,0.0994,0.0994
INDIA_CENSUS_2011,DISTRICT_CODE,AGE_GROUP_30_49,0.237,0.237
INDIA_CENSUS_2011,DISTRICT_CODE,AGE_GROUP_50,0.2813,0.2813
INDIA_CENSUS_2011,POPULATION,MALE,0.9992,0.9992
INDIA_CENSUS_2011,POPULATION,FEMALE,0.999,0.999
INDIA_CENSUS_2011,POPULATION,LITERATE,0.9726,0.9726
INDIA_CENSUS_2011,POPULATION,WORKERS,0.9723,0.9723
INDIA_CENSUS_2011,POPULATION,MALE_WORKERS,0.9894,0.9894
INDIA_CENSUS_2011,POPULATION,FEMALE_WORKERS,0.8037,0.8037
INDIA_CENSUS_2011,POPULATION,CULTIVATOR_WORKERS,0.5564,0.5564
INDIA_CENSUS_2011,POPULATION,AGRICULTURAL_WORKERS,0.6613,0.6613
INDIA_CENSUS_2011,POPULATION,HOUSEHOLD_WORKERS,0.6996,0.6996
INDIA_CENSUS_2011,POPULATION,HINDUS,0.9619,0.9619
INDIA_CENSUS_2011,POPULATION,MUSLIMS,0.6537,0.6537
INDIA_CENSUS_2011,POPULATION,CHRISTIANS,0.087,0.087
INDIA_CENSUS_2011,POPULATION,SIKHS,-0.0016,0.0016
INDIA_CENSUS_2011,POPULATION,BUDDHISTS,0.2572,0.2572
INDIA_CENSUS_2011,POPULATION,JAINS,0.4566,0.4566
INDIA_CENSUS_2011,POPULATION,SECONDARY_EDUCATION,0.8582,0.8582
INDIA_CENSUS_2011,POPULATION,HIGHER_EDUCATION,0.8572,0.8572
INDIA_CENSUS_2011,POPULATION,GRADUATE_EDUCATION,0.7918,0.7918
INDIA_CENSUS_2011,POPULATION,AGE_GROUP_0_29,0.9897,0.9897
INDIA_CENSUS_2011,POPULATION,AGE_GROUP_30_49,0.9839,0.9839
INDIA_CENSUS_2011,POPULATION,AGE_GROUP_50,0.9634,0.9634
INDIA_CENSUS_2011,MALE,FEMALE,0.9964,0.9964
INDIA_CENSUS_2011,MALE,LITERATE,0.971,0.971
INDIA_CENSUS_2011,MALE,WORKERS,0.9688,0.9688
INDIA_CENSUS_2011,MALE,MALE_WORKERS,0.9894,0.9894
