dataset_name,column_name,count,mean,median,std_dev,min,q1,q3,max,iqr,coefficient_of_variation
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,19993,19.2384,21.0,8.6756,0.0,10.0,28.0,35.0,18.0,0.451
CENSUS_POPULATION_AREA,COLUMN_2,19998,362.2578,376.0,171.3562,0.0,230.0,533.0,640.0,303.0,0.473
CENSUS_POPULATION_AREA,COLUMN_3,19993,3094.1716,2623.0,6772.4842,0.0,990.0,4288.0,99999.0,3298.0,2.1888
CENSUS_POPULATION_AREA,COLUMN_7,19993,239.1283,29.0,6193.0186,0.0,0.0,117.0,597608.0,117.0,25.8983
CENSUS_POPULATION_AREA,COLUMN_8,19993,17.3367,0.0,454.5044,0.0,0.0,5.0,43324.0,5.0,26.2164
CENSUS_POPULATION_AREA,COLUMN_9,19993,3.1748,0.0,82.2261,0.0,0.0,1.0,7933.0,1.0,25.8999
CENSUS_POPULATION_AREA,COLUMN_10,19993,99835.6082,18133.0,2284217.8568,0.0,5022.0,43165.0,249501663.0,38143.0,22.8798
CENSUS_POPULATION_AREA,COLUMN_11,19993,484511.5704,82442.0,11144862.0499,0.0,24581.0,209823.0,1210854977.0,185242.0,23.0023
CENSUS_POPULATION_AREA,COLUMN_12,19993,249395.3922,41872.0,5735765.1459,0.0,12476.0,107913.0,623270258.0,95437.0,22.9987
CENSUS_POPULATION_AREA,COLUMN_13,19993,235116.1789,40550.0,5409264.6332,0.0,11934.0,101942.0,587584719.0,90008.0,23.0068
CENSUS_POPULATION_AREA,COLUMN_14,19876,1275.258,203.7403,33100.2465,-0.0006,21.5225,571.7132,3287469.0,550.1907,25.9557
CENSUS_POPULATION_AREA,COLUMN_15,19876,1187.4691,334.1314,3156.758,0.0,133.8114,1032.9976,89185.0,899.1862,2.6584
INDIA_CENSUS_2011,DISTRICT_CODE,640,320.5,320.5,184.8964,1.0,160.75,480.25,640.0,319.5,0.5769
INDIA_CENSUS_2011,POPULATION,640,1891960.9016,1557367.0,1544380.2874,8004.0,817861.0,2583551.25,11060148.0,1765690.25,0.8163
INDIA_CENSUS_2011,MALE,640,973859.7781,798681.5,800778.524,4414.0,417168.25,1338604.5,5865078.0,921436.25,0.8223
INDIA_CENSUS_2011,FEMALE,640,918101.1234,758920.0,744986.3923,3590.0,401745.75,1264276.75,5195070.0,862531.0,0.8114
INDIA_CENSUS_2011,LITERATE,640,1193185.6438,957346.5,1068582.6277,4436.0,482598.25,1602260.25,8227161.0,1119662.0,0.8956
INDIA_CENSUS_2011,WORKERS,640,752951.3562,622341.0,607162.2023,3555.0,328468.75,1036543.75,4492767.0,708075.0,0.8064
INDIA_CENSUS_2011,MALE_WORKERS,640,518656.0547,428851.5,441238.7592,2228.0,229416.75,699151.0,3363123.0,469734.25,0.8507
INDIA_CENSUS_2011,FEMALE_WORKERS,640,234295.3016,192926.5,191354.1044,1327.0,94203.5,316365.75,1239177.0,222162.25,0.8167
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,640,185638.7188,150125.0,151489.5455,0.0,74910.25,255301.5,1013050.0,180391.25,0.816
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,640,225551.3266,164530.0,221622.1899,0.0,52841.75,325898.25,1227956.0,273056.5,0.9826
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,640,28653.3875,16586.5,38513.0207,68.0,8563.5,35126.25,466007.0,26562.75,1.3441
INDIA_CENSUS_2011,HINDUS,640,1509777.1141,1291930.0,1279535.4938,873.0,567069.75,2116406.75,8716055.0,1549337.0,0.8475
INDIA_CENSUS_2011,MUSLIMS,640,269133.0594,117691.5,420127.0072,74.0,26237.25,351584.0,4707573.0,325346.75,1.561
INDIA_CENSUS_2011,CHRISTIANS,640,43468.1062,6079.5,108727.3429,171.0,1951.75,27508.5,1248137.0,25556.75,2.5013
INDIA_CENSUS_2011,SIKHS,640,32551.7438,737.5,160385.8822,3.0,253.75,2800.0,1863408.0,2546.25,4.9271
INDIA_CENSUS_2011,BUDDHISTS,640,13192.1437,372.0,56347.9466,1.0,163.75,1942.5,668050.0,1778.75,4.2713
INDIA_CENSUS_2011,JAINS,640,6955.8641,741.0,23624.0107,0.0,124.75,4150.75,343639.0,4026.0,3.3963
INDIA_CENSUS_2011,SECONDARY_EDUCATION,640,205104.6266,152332.5,216477.7778,809.0,70785.75,262916.0,2018079.0,192130.25,1.0555
INDIA_CENSUS_2011,HIGHER_EDUCATION,640,124173.5953,89987.0,130415.4271,656.0,42347.0,158355.5,1196965.0,116008.5,1.0503
INDIA_CENSUS_2011,GRADUATE_EDUCATION,640,109013.1703,66243.5,150226.0237,356.0,27992.0,129948.75,1733274.0,101956.75,1.3781
INDIA_CENSUS_2011,AGE_GROUP_0_29,640,1102826.175,889682.0,888743.3904,5113.0,478654.0,1491204.25,6184519.0,1012550.25,0.8059
INDIA_CENSUS_2011,AGE_GROUP_30_49,640,482018.8656,390508.5,418323.0324,2088.0,210196.5,652514.25,3241888.0,442317.75,0.8679
INDIA_CENSUS_2011,AGE_GROUP_50,640,300100.5453,242102.0,254955.5878,786.0,119328.5,404587.5,1921143.0,285259.0,0.8496
NFHS_5_FACTSHEETS,NUMBER_OF_HOUSEHOLDS_SURVEYED,111,22944.1081,8154.0,75735.4809,21.0,2868.0,18693.0,636699.0,15825.0,3.3009
NFHS_5_FACTSHEETS,NUMBER_OF_WOMEN_AGE_15_49_YEARS_INTERVIEWED,111,26094.2342,9133.0,86416.5238,26.0,2844.5,21632.0,724115.0,18787.5,3.3117
NFHS_5_FACTSHEETS,NUMBER_OF_MEN_AGE_15_54_YEARS_INTERVIEWED,111,3669.8739,1308.0,12096.4781,0.0,430.0,3147.5,101839.0,2717.5,3.2962
NFHS_5_FACTSHEETS,FEMALE_POPULATION_AGE_6_YEARS_AND_ABOVE_WHO_EVER_ATTENDED_SCHOOL,111,76.8293,79.33,17.1234,-69.23,69.84,84.915,97.59,15.075,0.2229
NFHS_5_FACTSHEETS,POPULATION_BELOW_AGE_15_YEARS,111,24.6641,23.85,4.0963,18.09,21.98,26.35,39.21,4.37,0.1661
NFHS_5_FACTSHEETS,SEX_RATIO_OF_THE_TOTAL_POPULATION_FEMALES_PER_1_000_MALES,111,1008.6356,1014.53,71.6868,775.2,964.245,1049.785,1192.9,85.54,0.0711
NFHS_5_FACTSHEETS,SEX_RATIO_AT_BIRTH_FOR_CHILDREN_BORN_IN_THE_LAST_FIVE_YEARS_FEMALES_PER_1_000_MALES,110,891.0918,933.045,327.7791,-1520.1,892.6325,967.175,1267.53,74.5425,0.3678
