dataset_name,column_name,total_records,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,19993,10.0,28.0,18.0,-17.0,55.0,0,0.0
CENSUS_POPULATION_AREA,COLUMN_2,19998,230.0,533.0,303.0,-224.5,987.5,0,0.0
CENSUS_POPULATION_AREA,COLUMN_3,19993,990.0,4288.0,3298.0,-3957.0,9235.0,90,0.45
CENSUS_POPULATION_AREA,COLUMN_7,19993,0.0,117.0,117.0,-175.5,292.5,1676,8.38
CENSUS_POPULATION_AREA,COLUMN_8,19993,0.0,5.0,5.0,-7.5,12.5,2858,14.3
CENSUS_POPULATION_AREA,COLUMN_9,19993,0.0,1.0,1.0,-1.5,2.5,2839,14.2
CENSUS_POPULATION_AREA,COLUMN_10,19993,5022.0,43165.0,38143.0,-52192.5,100379.5,1977,9.89
CENSUS_POPULATION_AREA,COLUMN_11,19993,24581.0,209823.0,185242.0,-253282.0,487686.0,2060,10.3
CENSUS_POPULATION_AREA,COLUMN_12,19993,12476.0,107913.0,95437.0,-130679.5,251068.5,2079,10.4
CENSUS_POPULATION_AREA,COLUMN_13,19993,11934.0,101942.0,90008.0,-123078.0,236954.0,2062,10.31
CENSUS_POPULATION_AREA,COLUMN_14,19876,21.5225,571.7132,550.1907,-803.7635,1396.9992,1757,8.84
CENSUS_POPULATION_AREA,COLUMN_15,19876,133.8114,1032.9976,899.1862,-1214.9678,2381.7768,2380,11.97
INDIA_CENSUS_2011,DISTRICT_CODE,640,160.75,480.25,319.5,-318.5,959.5,0,0.0
INDIA_CENSUS_2011,POPULATION,640,817861.0,2583551.25,1765690.25,-1830674.375,5232086.625,17,2.66
INDIA_CENSUS_2011,MALE,640,417168.25,1338604.5,921436.25,-964986.125,2720758.875,16,2.5
INDIA_CENSUS_2011,FEMALE,640,401745.75,1264276.75,862531.0,-892050.75,2558073.25,18,2.81
INDIA_CENSUS_2011,LITERATE,640,482598.25,1602260.25,1119662.0,-1196894.75,3281753.25,25,3.91
INDIA_CENSUS_2011,WORKERS,640,328468.75,1036543.75,708075.0,-733643.75,2098656.25,19,2.97
INDIA_CENSUS_2011,MALE_WORKERS,640,229416.75,699151.0,469734.25,-475184.625,1403752.375,23,3.59
INDIA_CENSUS_2011,FEMALE_WORKERS,640,94203.5,316365.75,222162.25,-239039.875,649609.125,27,4.22
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,640,74910.25,255301.5,180391.25,-195676.625,525888.375,25,3.91
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,640,52841.75,325898.25,273056.5,-356743.0,735483.0,26,4.06
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,640,8563.5,35126.25,26562.75,-31280.625,74970.375,44,6.88
INDIA_CENSUS_2011,HINDUS,640,567069.75,2116406.75,1549337.0,-1756935.75,4440412.25,17,2.66
INDIA_CENSUS_2011,MUSLIMS,640,26237.25,351584.0,325346.75,-461782.875,839604.125,43,6.72
INDIA_CENSUS_2011,CHRISTIANS,640,1951.75,27508.5,25556.75,-36383.375,65843.625,104,16.25
INDIA_CENSUS_2011,SIKHS,640,253.75,2800.0,2546.25,-3565.625,6619.375,110,17.19
INDIA_CENSUS_2011,BUDDHISTS,640,163.75,1942.5,1778.75,-2504.375,4610.625,103,16.09
INDIA_CENSUS_2011,JAINS,640,124.75,4150.75,4026.0,-5914.25,10189.75,97,15.16
INDIA_CENSUS_2011,SECONDARY_EDUCATION,640,70785.75,262916.0,192130.25,-217409.625,551111.375,38,5.94
INDIA_CENSUS_2011,HIGHER_EDUCATION,640,42347.0,158355.5,116008.5,-131665.75,332368.25,36,5.62
INDIA_CENSUS_2011,GRADUATE_EDUCATION,640,27992.0,129948.75,101956.75,-124943.125,282883.875,43,6.72
INDIA_CENSUS_2011,AGE_GROUP_0_29,640,478654.0,1491204.25,1012550.25,-1040171.375,3010029.625,18,2.81
INDIA_CENSUS_2011,AGE_GROUP_30_49,640,210196.5,652514.25,442317.75,-453280.125,1315990.875,25,3.91
INDIA_CENSUS_2011,AGE_GROUP_50,640,119328.5,404587.5,285259.0,-308560.0,832476.0,24,3.75
NFHS_5_FACTSHEETS,NUMBER_OF_HOUSEHOLDS_SURVEYED,111,2868.0,18693.0,15825.0,-20869.5,42430.5,6,5.41
NFHS_5_FACTSHEETS,NUMBER_OF_WOMEN_AGE_15_49_YEARS_INTERVIEWED,111,2844.5,21632.0,18787.5,-25336.75,49813.25,5,4.5
NFHS_5_FACTSHEETS,NUMBER_OF_MEN_AGE_15_54_YEARS_INTERVIEWED,111,430.0,3147.5,2717.5,-3646.25,7223.75,5,4.5
NFHS_5_FACTSHEETS,FEMALE_POPULATION_AGE_6_YEARS_AND_ABOVE_WHO_EVER_ATTENDED_SCHOOL,111,69.84,84.915,15.075,47.2275,107.5275,1,0.9
NFHS_5_FACTSHEETS,POPULATION_BELOW_AGE_15_YEARS,111,21.98,26.35,4.37,15.425,32.905,5,4.5
NFHS_5_FACTSHEETS,SEX_RATIO_OF_THE_TOTAL_POPULATION_FEMALES_PER_1_000_MALES,111,964.245,1049.785,85.54,835.935,1178.095,4,3.6
NFHS_5_FACTSHEETS,SEX_RATIO_AT_BIRTH_FOR_CHILDREN_BORN_IN_THE_LAST_FIVE_YEARS_FEMALES_PER_1_000_MALES,110,892.6325,967.175,74.5425,780.8188,1078.9887,9,8.18
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_5_YEARS_WHOSE_BIRTH_WAS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,110,90.9225,98.105,7.1825,80.1487,108.8788,10,9.09
NFHS_5_FACTSHEETS,DEATHS_IN_THE_LAST_3_YEARS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,109,65.82,91.17,25.35,27.795,129.195,4,3.67
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_WITH_ELECTRICITY,111,97.62,99.62,2.0,94.62,102.62,9,8.11
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_WITH_AN_IMPROVED_DRINKING_WATER_SOURCE1,111,92.905,98.605,5.7,84.355,107.155,6,5.41
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_THAT_USE_AN_IMPROVED_SANITATION_FACILITY2,111,68.96,85.97,17.01,43.445,111.485,2,1.8
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_CLEAN_FUEL_FOR_COOKING3,110,45.5275,90.025,44.4975,-21.2188,156.7713,0,0.0
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_IODIZED_SALT,110,94.4425,98.945,4.5025,87.6888,105.6988,4,3.64
NFHS_5_FACTSHEETS,HOUSEHOLDS_WITH_ANY_USUAL_MEMBER_COVERED_UNDER_A_HEALTH_INSURANCE_FINANCING_SCHEME,110,24.99,57.6525,32.6625,-24.0037,106.6462,0,0.0
NFHS_5_FACTSHEETS,CHILDREN_AGE_5_YEARS_WHO_ATTENDED_PRE_PRIMARY_SCHOOL_DURING_THE_SCHOOL_YEAR_2019_20,106,6.29,22.0225,15.7325,-17.3088,45.6213,2,1.89
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_ARE_LITERATE4,111,74.82,87.68,12.86,55.53,106.97,2,1.8
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_ARE_LITERATE4,110,86.695,94.1575,7.4625,75.5012,105.3513,2,1.82
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,111,35.44,59.82,24.38,-1.13,96.39,1,0.9
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,110,45.12,64.48,19.36,16.08,93.52,2,1.82
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,110,28.015,56.38,28.365,-14.5325,98.9275,2,1.82
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,110,53.435,76.05,22.615,19.5125,109.9725,4,3.64
NFHS_5_FACTSHEETS,WOMEN_AGE_20_24_YEARS_MARRIED_BEFORE_AGE_18_YEARS,110,8.6275,23.215,14.5875,-13.2538,45.0962,1,0.91
NFHS_5_FACTSHEETS,MEN_AGE_25_29_YEARS_MARRIED_BEFORE_AGE_21_YEARS,97,7.84,18.72,10.88,-8.48,35.04,6,6.19
NFHS_5_FACTSHEETS,TOTAL_FERTILITY_RATE_NUMBER_OF_CHILDREN_PER_WOMAN,110,1.4825,1.89,0.4075,0.8712,2.5012,5,4.55
NFHS_5_FACTSHEETS,WOMEN_AGE_15_19_YEARS_WHO_WERE_ALREADY_MOTHERS_OR_PREGNANT_AT_THE_TIME_OF_THE_SURVEY,110,2.69,7.3325,4.6425,-4.2737,14.2963,6,5.45
NFHS_5_FACTSHEETS,ADOLESCENT_FERTILITY_RATE_FOR_WOMEN_AGE_15_19_YEARS5,111,18.64,42.95,24.31,-17.825,79.415,6,5.41
NFHS_5_FACTSHEETS,NEONATAL_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,98,10.27,23.2525,12.9825,-9.2037,42.7262,6,6.12
NFHS_5_FACTSHEETS,INFANT_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,98,18.04,33.5575,15.5175,-5.2363,56.8338,8,8.16
NFHS_5_FACTSHEETS,UNDER_FIVE_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,98,22.35,39.8675,17.5175,-3.9263,66.1438,7,7.14
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_METHOD6,110,60.735,71.37,10.635,44.7825,87.3225,6,5.45
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_MODERN_METHOD6,110,47.4725,62.02,14.5475,25.6512,83.8413,6,5.45
