dataset_name,component,explained_variance_ratio,cumulative_explained_variance,top_contributing_feature,top_feature_loading
CENSUS_POPULATION_AREA,PC1,0.6048,0.6048,COLUMN_13,0.3705
CENSUS_POPULATION_AREA,PC2,0.1738,0.7785,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,0.6744
CENSUS_POPULATION_AREA,PC3,0.0881,0.8666,COLUMN_15,0.8507
INDIA_CENSUS_2011,PC1,0.6384,0.6384,MALE_WORKERS,0.2586
INDIA_CENSUS_2011,PC2,0.0826,0.721,CHRISTIANS,0.4389
INDIA_CENSUS_2011,PC3,0.0649,0.7859,DISTRICT_CODE,0.6385
NFHS_5_FACTSHEETS,PC1,0.1727,0.1727,WOMEN_AGE_15_49_YEARS_WHO_ARE_OVERWEIGHT_OR_OBESE_BMI_25_0_KG_M2_21,0.173
NFHS_5_FACTSHEETS,PC2,0.1016,0.2743,WOMEN_AGE_15_49_YEARS_HAVING_A_BANK_OR_SAVINGS_ACCOUNT_THAT_THEY_THEMSELVES_USE,0.1807
NFHS_5_FACTSHEETS,PC3,0.0933,0.3676,WOMEN_AGE_15_49_YEARS_HAVING_A_MOBILE_PHONE_THAT_THEY_THEMSELVES_USE,0.1824
TOURISM_STATISTICS,PC1,0.5952,0.5952,NUMBER_OF_ARRIVALS_2020,0.4086
TOURISM_STATISTICS,PC2,0.1246,0.7198,PERCENTAGE_SHARE_2019_18,0.7488
TOURISM_STATISTICS,PC3,0.1114,0.8312,PERCENTAGE_SHARE_2018_17,0.749
