dataset_name,region,country,period,start_value,end_value,absolute_change,percentage_growth
TOURISM_STATISTICS,North America,Canada,2017 -> 2018,335439.0,351040.0,15601.0,4.65
TOURISM_STATISTICS,North America,U. S. A,2017 -> 2018,1376919.0,1456678.0,79759.0,5.79
TOURISM_STATISTICS,North America,Total,2017 -> 2018,1712358.0,1807718.0,95360.0,5.57
TOURISM_STATISTICS,Central and South America,Argentina,2017 -> 2018,14875.0,16345.0,1470.0,9.88
TOURISM_STATISTICS,Central and South America,Brazil,2017 -> 2018,24453.0,26579.0,2126.0,8.69
TOURISM_STATISTICS,Central and South America,Mexico,2017 -> 2018,18114.0,19909.0,1795.0,9.91
TOURISM_STATISTICS,Central and South America,Others,2017 -> 2018,34625.0,38252.0,3627.0,10.48
TOURISM_STATISTICS,Central and South America,Total,2017 -> 2018,92067.0,101085.0,9018.0,9.8
TOURISM_STATISTICS,Western Europe,Austria,2017 -> 2018,31842.0,33200.0,1358.0,4.26
TOURISM_STATISTICS,Western Europe,Belgium,2017 -> 2018,41902.0,44086.0,2184.0,5.21
TOURISM_STATISTICS,Western Europe,Denmark,2017 -> 2018,26761.0,28195.0,1434.0,5.36
TOURISM_STATISTICS,Western Europe,Finland,2017 -> 2018,20384.0,21239.0,855.0,4.19
TOURISM_STATISTICS,Western Europe,France,2017 -> 2018,249620.0,261653.0,12033.0,4.82
TOURISM_STATISTICS,Western Europe,Germany,2017 -> 2018,269380.0,274087.0,4707.0,1.75
TOURISM_STATISTICS,Western Europe,Greece,2017 -> 2018,10286.0,10656.0,370.0,3.6
TOURISM_STATISTICS,Western Europe,Ireland,2017 -> 2018,37993.0,39276.0,1283.0,3.38
TOURISM_STATISTICS,Western Europe,Italy,2017 -> 2018,111915.0,126931.0,15016.0,13.42
TOURISM_STATISTICS,Western Europe,Netherlands,2017 -> 2018,76652.0,81615.0,4963.0,6.47
TOURISM_STATISTICS,Western Europe,Norway,2017 -> 2018,20882.0,22631.0,1749.0,8.38
TOURISM_STATISTICS,Western Europe,Portugal,2017 -> 2018,66378.0,74492.0,8114.0,12.22
TOURISM_STATISTICS,Western Europe,Spain,2017 -> 2018,81442.0,84356.0,2914.0,3.58
TOURISM_STATISTICS,Western Europe,Sweden,2017 -> 2018,45851.0,46743.0,892.0,1.95
