dataset_name,column_name,unique_count,cardinality_ratio,top_category_1,top_category_1_freq,top_category_2,top_category_2_freq,top_category_3,top_category_3_freq
CENSUS_POPULATION_AREA,COLUMN_4,10,0.0005,SUB-DISTRICT,17964,DISTRICT,1920,STATE,105
CENSUS_POPULATION_AREA,COLUMN_5,5960,0.2977,Area not under any Sub-district,90,Fatehpur,21,Patan,18
CENSUS_POPULATION_AREA,COLUMN_6,8,0.0004,Urban,6665,Total,6664,Rural,6664
CENSUS_POPULATION_AREA,COLUMN_14,13082,0.6535,0E-16,2825,4.0000000000000000,23,8.0000000000000000,21
CENSUS_POPULATION_AREA,COLUMN_15,11068,0.5529,0E-16,2834,198.0000000000000000,17,180.0000000000000000,14
INDIA_CENSUS_2011,DISTRICT_CODE,640,1.0,1,1,2,1,3,1
INDIA_CENSUS_2011,STATE_NAME,35,0.0547,UTTAR PRADESH,71,MADHYA PRADESH,50,BIHAR,38
INDIA_CENSUS_2011,DISTRICT_NAME,634,0.9906,Hamirpur,2,Bilaspur,2,Pratapgarh,2
NFHS_5_FACTSHEETS,STATES_UTS,37,0.3333,India,3,Andaman & Nicobar Islands,3,Andhra Pradesh,3
NFHS_5_FACTSHEETS,AREA,3,0.027,Urban,37,Rural,37,Total,37
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_5_YEARS_WHOSE_BIRTH_WAS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,102,0.9189,100.0,8,98.09,2,97.86,2
NFHS_5_FACTSHEETS,DEATHS_IN_THE_LAST_3_YEARS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,107,0.964,100.0,3,85.1,2,83.2,1
NFHS_5_FACTSHEETS,HEALTH_WORKER_EVER_TALKED_TO_FEMALE_NON_USERS_ABOUT_FAMILY_PLANNING,107,0.964,18.64,2,29.48,2,21.67,2
NFHS_5_FACTSHEETS,CURRENT_USERS_EVER_TOLD_ABOUT_SIDE_EFFECTS_OF_CURRENT_METHOD_OF_FAMILY_PLANNING8,109,0.982,61.47,2,64.71,1,62.36,1
NFHS_5_FACTSHEETS,AVERAGE_OUT_OF_POCKET_EXPENDITURE_PER_DELIVERY_IN_A_PUBLIC_HEALTH_FACILITY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_RS,111,1.0,3385.4,1,2769.84,1,2915.87,1
NFHS_5_FACTSHEETS,CHILDREN_BORN_AT_HOME_WHO_WERE_TAKEN_TO_A_HEALTH_FACILITY_FOR_A_CHECK_UP_WITHIN_24_HOURS_OF_BIRTH_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,69,0.6216,*,38,0,3,3.79,2
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_THE_5_YEARS_BEFORE_THE_SURVEY,108,0.973,93.12,2,100.0,2,99.73,2
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_PUBLIC_FACILITY_IN_THE_5_YEARS_BEFORE_THE_SURVEY,111,1.0,52.57,1,65.31,1,61.91,1
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ORAL_REHYDRATION_SALTS_ORS_CHILDREN_UNDER_AGE_5_YEARS,88,0.7928,*,24,62.5,1,60.08,1
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ZINC_CHILDREN_UNDER_AGE_5_YEARS,86,0.7748,*,24,50.49,2,28.88,2
NFHS_5_FACTSHEETS,CHILDREN_SWITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_TAKEN_TO_A_HEALTH_FACILITY_OR_HEALTH_PROVIDER_CHILDREN_UNDER_AGE_5_YEARS,87,0.7838,*,24,69.06,2,72.22,1
NFHS_5_FACTSHEETS,CHILDREN_PREVALENCE_OF_SYMPTOMS_OF_ACUTE_RESPIRATORY_INFECTION_ARI_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_CHILDREN_UNDER_AGE_5_YEARS,95,0.8559,0.0,3,1.45,3,2.79,2
NFHS_5_FACTSHEETS,CHILDREN_AGE_6_8_MONTHS_RECEIVING_SOLID_OR_SEMI_SOLID_FOOD_AND_BREASTMILK16,89,0.8018,*,23,51.95,1,43.89,1
NFHS_5_FACTSHEETS,NON_BREASTFEEDING_CHILDREN_AGE_6_23_MONTHS_RECEIVING_AN_ADEQUATE_DIET16_17,84,0.7568,*,27,22.2,2,14.2,1
RS_SESSION_262,DISEASE_DISEASE_CONDITION,65,1.0,Acute Diarrheal Disease,1,Food Poisoning,1,Dengue,1
RS_SESSION_262,NOS_OF_OUTBREAKS,21,0.3231,1,20,2,15,3,6
TOURISM_STATISTICS,REGION,12,0.1446,Western Europe,18,West Asia,10,Africa,9
TOURISM_STATISTICS,COUNTRY_OF_NATIONALITY,66,0.7952,Total,10,Others,9,Canada,1
