dataset_name,column_name,data_type,inferred_type,non_null_count,null_count,null_percentage,unique_values_count
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,float64,Numeric,19993,25,0.12,37
CENSUS_POPULATION_AREA,COLUMN_2,float64,Numeric,19998,20,0.1,642
CENSUS_POPULATION_AREA,COLUMN_3,float64,Numeric,19993,25,0.12,5925
CENSUS_POPULATION_AREA,COLUMN_4,str,Categorical,19997,21,0.1,10
CENSUS_POPULATION_AREA,COLUMN_5,str,Categorical,19997,21,0.1,5960
CENSUS_POPULATION_AREA,COLUMN_6,str,Categorical,19997,21,0.1,8
CENSUS_POPULATION_AREA,COLUMN_7,float64,Numeric,19993,25,0.12,895
CENSUS_POPULATION_AREA,COLUMN_8,float64,Numeric,19993,25,0.12,225
CENSUS_POPULATION_AREA,COLUMN_9,float64,Numeric,19993,25,0.12,84
CENSUS_POPULATION_AREA,COLUMN_10,float64,Numeric,19993,25,0.12,13101
CENSUS_POPULATION_AREA,COLUMN_11,float64,Numeric,19993,25,0.12,13964
CENSUS_POPULATION_AREA,COLUMN_12,float64,Numeric,19993,25,0.12,13708
CENSUS_POPULATION_AREA,COLUMN_13,float64,Numeric,19993,25,0.12,13721
CENSUS_POPULATION_AREA,COLUMN_14,object,Categorical,19876,142,0.71,13082
CENSUS_POPULATION_AREA,COLUMN_15,object,Categorical,19876,142,0.71,11068
INDIA_CENSUS_2011,DISTRICT_CODE,int16,Geographic,640,0,0.0,640
INDIA_CENSUS_2011,STATE_NAME,str,Geographic,640,0,0.0,35
INDIA_CENSUS_2011,DISTRICT_NAME,str,Geographic,640,0,0.0,634
INDIA_CENSUS_2011,POPULATION,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,MALE,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,FEMALE,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,LITERATE,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,WORKERS,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,MALE_WORKERS,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,FEMALE_WORKERS,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,int32,Numeric,640,0,0.0,639
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,int32,Numeric,640,0,0.0,632
INDIA_CENSUS_2011,HINDUS,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,MUSLIMS,int32,Numeric,640,0,0.0,639
INDIA_CENSUS_2011,CHRISTIANS,int32,Numeric,640,0,0.0,622
INDIA_CENSUS_2011,SIKHS,int32,Numeric,640,0,0.0,565
INDIA_CENSUS_2011,BUDDHISTS,int32,Numeric,640,0,0.0,511
INDIA_CENSUS_2011,JAINS,int32,Numeric,640,0,0.0,546
INDIA_CENSUS_2011,SECONDARY_EDUCATION,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,HIGHER_EDUCATION,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,GRADUATE_EDUCATION,int32,Numeric,640,0,0.0,637
INDIA_CENSUS_2011,AGE_GROUP_0_29,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,AGE_GROUP_30_49,int32,Numeric,640,0,0.0,640
INDIA_CENSUS_2011,AGE_GROUP_50,int32,Numeric,640,0,0.0,639
NFHS_5_FACTSHEETS,STATES_UTS,str,Geographic,111,0,0.0,37
NFHS_5_FACTSHEETS,AREA,str,Categorical,111,0,0.0,3
NFHS_5_FACTSHEETS,NUMBER_OF_HOUSEHOLDS_SURVEYED,int32,Numeric,111,0,0.0,111
NFHS_5_FACTSHEETS,NUMBER_OF_WOMEN_AGE_15_49_YEARS_INTERVIEWED,int32,Time/Year,111,0,0.0,110
NFHS_5_FACTSHEETS,NUMBER_OF_MEN_AGE_15_54_YEARS_INTERVIEWED,int32,Time/Year,111,0,0.0,110
NFHS_5_FACTSHEETS,FEMALE_POPULATION_AGE_6_YEARS_AND_ABOVE_WHO_EVER_ATTENDED_SCHOOL,float64,Time/Year,111,0,0.0,109
NFHS_5_FACTSHEETS,POPULATION_BELOW_AGE_15_YEARS,float64,Time/Year,111,0,0.0,107
NFHS_5_FACTSHEETS,SEX_RATIO_OF_THE_TOTAL_POPULATION_FEMALES_PER_1_000_MALES,float64,Numeric,111,0,0.0,111
NFHS_5_FACTSHEETS,SEX_RATIO_AT_BIRTH_FOR_CHILDREN_BORN_IN_THE_LAST_FIVE_YEARS_FEMALES_PER_1_000_MALES,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_5_YEARS_WHOSE_BIRTH_WAS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,float64,Geographic,110,1,0.9,102
NFHS_5_FACTSHEETS,DEATHS_IN_THE_LAST_3_YEARS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,float64,Geographic,109,2,1.8,107
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_WITH_ELECTRICITY,float64,Numeric,111,0,0.0,90
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_WITH_AN_IMPROVED_DRINKING_WATER_SOURCE1,float64,Numeric,111,0,0.0,106
NFHS_5_FACTSHEETS,POPULATION_LIVING_IN_HOUSEHOLDS_THAT_USE_AN_IMPROVED_SANITATION_FACILITY2,float64,Numeric,111,0,0.0,108
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_CLEAN_FUEL_FOR_COOKING3,float64,Numeric,110,1,0.9,109
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_IODIZED_SALT,float64,Numeric,110,1,0.9,106
NFHS_5_FACTSHEETS,HOUSEHOLDS_WITH_ANY_USUAL_MEMBER_COVERED_UNDER_A_HEALTH_INSURANCE_FINANCING_SCHEME,float64,Numeric,110,1,0.9,110
NFHS_5_FACTSHEETS,CHILDREN_AGE_5_YEARS_WHO_ATTENDED_PRE_PRIMARY_SCHOOL_DURING_THE_SCHOOL_YEAR_2019_20,float64,Time/Year,106,5,4.5,104
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_ARE_LITERATE4,float64,Numeric,111,0,0.0,111
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_ARE_LITERATE4,float64,Numeric,110,1,0.9,107
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,float64,Time/Year,111,0,0.0,111
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,float64,Time/Year,110,1,0.9,109
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,float64,Numeric,110,1,0.9,110
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,float64,Numeric,110,1,0.9,107
NFHS_5_FACTSHEETS,WOMEN_AGE_20_24_YEARS_MARRIED_BEFORE_AGE_18_YEARS,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,MEN_AGE_25_29_YEARS_MARRIED_BEFORE_AGE_21_YEARS,float64,Time/Year,97,14,12.61,96
NFHS_5_FACTSHEETS,TOTAL_FERTILITY_RATE_NUMBER_OF_CHILDREN_PER_WOMAN,float64,Numeric,110,1,0.9,78
NFHS_5_FACTSHEETS,WOMEN_AGE_15_19_YEARS_WHO_WERE_ALREADY_MOTHERS_OR_PREGNANT_AT_THE_TIME_OF_THE_SURVEY,float64,Time/Year,110,1,0.9,99
NFHS_5_FACTSHEETS,ADOLESCENT_FERTILITY_RATE_FOR_WOMEN_AGE_15_19_YEARS5,float64,Time/Year,111,0,0.0,109
NFHS_5_FACTSHEETS,NEONATAL_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,float64,Numeric,98,13,11.71,98
NFHS_5_FACTSHEETS,INFANT_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,float64,Numeric,98,13,11.71,97
NFHS_5_FACTSHEETS,UNDER_FIVE_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,float64,Numeric,98,13,11.71,98
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_METHOD6,float64,Time/Year,110,1,0.9,107
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_MODERN_METHOD6,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_FEMALE_STERILIZATION,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_MALE_STERILIZATION,float64,Time/Year,110,1,0.9,56
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_IUD_PPIUD,float64,Time/Year,110,1,0.9,103
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_PILL,float64,Time/Year,110,1,0.9,105
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_CONDOM,float64,Time/Year,110,1,0.9,109
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_INJECTABLES,float64,Time/Year,110,1,0.9,66
NFHS_5_FACTSHEETS,TOTAL_UNMET_NEED_FOR_FAMILY_PLANNING_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_7,float64,Time/Year,110,1,0.9,106
NFHS_5_FACTSHEETS,UNMET_NEED_FOR_SPACING_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_7,float64,Time/Year,110,1,0.9,99
NFHS_5_FACTSHEETS,HEALTH_WORKER_EVER_TALKED_TO_FEMALE_NON_USERS_ABOUT_FAMILY_PLANNING,float64,Geographic,110,1,0.9,107
NFHS_5_FACTSHEETS,CURRENT_USERS_EVER_TOLD_ABOUT_SIDE_EFFECTS_OF_CURRENT_METHOD_OF_FAMILY_PLANNING8,float64,Geographic,109,2,1.8,109
NFHS_5_FACTSHEETS,MOTHERS_WHO_HAD_AN_ANTENATAL_CHECK_UP_IN_THE_FIRST_TRIMESTER_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,107
NFHS_5_FACTSHEETS,MOTHERS_WHO_HAD_AT_LEAST_4_ANTENATAL_CARE_VISITS_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,108
NFHS_5_FACTSHEETS,MOTHERS_WHOSE_LAST_BIRTH_WAS_PROTECTED_AGAINST_NEONATAL_TETANUS_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_9,float64,Time/Year,110,1,0.9,106
NFHS_5_FACTSHEETS,MOTHERS_WHO_CONSUMED_IRON_FOLIC_ACID_FOR_100_DAYS_OR_MORE_WHEN_THEY_WERE_PREGNANT_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,109
NFHS_5_FACTSHEETS,MOTHERS_WHO_CONSUMED_IRON_FOLIC_ACID_FOR_180_DAYS_OR_MORE_WHEN_THEY_WERE_PREGNANT_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,REGISTERED_PREGNANCIES_FOR_WHICH_THE_MOTHER_RECEIVED_A_MOTHER_AND_CHILD_PROTECTION_MCP_CARD_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,102
NFHS_5_FACTSHEETS,MOTHERS_WHO_RECEIVED_POSTNATAL_CARE_FROM_A_DOCTOR_NURSE_LHV_ANM_MIDWIFE_OTHER_HEALTH_PERSONNEL_WITHIN_2_DAYS_OF_DELIVERY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,AVERAGE_OUT_OF_POCKET_EXPENDITURE_PER_DELIVERY_IN_A_PUBLIC_HEALTH_FACILITY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_RS,float64,Geographic,110,1,0.9,111
NFHS_5_FACTSHEETS,CHILDREN_BORN_AT_HOME_WHO_WERE_TAKEN_TO_A_HEALTH_FACILITY_FOR_A_CHECK_UP_WITHIN_24_HOURS_OF_BIRTH_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,str,Time/Year,111,0,0.0,69
NFHS_5_FACTSHEETS,CHILDREN_WHO_RECEIVED_POSTNATAL_CARE_FROM_A_DOCTOR_NURSE_LHV_ANM_MIDWIFE_OTHER_HEALTH_PERSONNEL_WITHIN_2_DAYS_OF_DELIVERY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,111
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Geographic,110,1,0.9,108
NFHS_5_FACTSHEETS,INSTITUTIONAL_BIRTHS_IN_PUBLIC_FACILITY_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Geographic,110,1,0.9,111
NFHS_5_FACTSHEETS,HOME_BIRTHS_THAT_WERE_CONDUCTED_BY_SKILLED_HEALTH_PERSONNEL_IN_THE_5_YEARS_BEFORE_THE_SURVEY_10,float64,Time/Year,110,1,0.9,95
NFHS_5_FACTSHEETS,BIRTHS_ATTENDED_BY_SKILLED_HEALTH_PERSONNEL_IN_THE_5_YEARS_BEFORE_THE_SURVEY_10,float64,Time/Year,110,1,0.9,103
NFHS_5_FACTSHEETS,BIRTHS_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,108
NFHS_5_FACTSHEETS,BIRTHS_IN_A_PRIVATE_HEALTH_FACILITY_THAT_WERE_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,103,8,7.21,104
NFHS_5_FACTSHEETS,BIRTHS_IN_A_PUBLIC_HEALTH_FACILITY_THAT_WERE_DELIVERED_BY_CAESAREAN_SECTION_IN_THE_5_YEARS_BEFORE_THE_SURVEY,float64,Time/Year,110,1,0.9,110
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_FULLY_VACCINATED_BASED_ON_INFORMATION_FROM_EITHER_VACCINATION_CARD_OR_MOTHER_S_RECALL11,float64,Numeric,107,4,3.6,107
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_FULLY_VACCINATED_BASED_ON_INFORMATION_FROM_VACCINATION_CARD_ONLY12,float64,Numeric,104,7,6.31,103
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_BCG,float64,Numeric,107,4,3.6,98
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_POLIO_VACCINE13,float64,Numeric,107,4,3.6,105
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_PENTA_OR_DPT_VACCINE,float64,Numeric,107,4,3.6,106
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_THE_FIRST_DOSE_OF_MEASLES_CONTAINING_VACCINE_MCV,float64,Numeric,107,4,3.6,103
NFHS_5_FACTSHEETS,CHILDREN_AGE_24_35_MONTHS_WHO_HAVE_RECEIVED_A_SECOND_DOSE_OF_MEASLES_CONTAINING_VACCINE_MCV,float64,Numeric,107,4,3.6,107
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_ROTAVIRUS_VACCINE14,float64,Numeric,107,4,3.6,106
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_HAVE_RECEIVED_3_DOSES_OF_PENTA_OR_HEPATITIS_B_VACCINE,float64,Numeric,107,4,3.6,105
NFHS_5_FACTSHEETS,CHILDREN_AGE_9_35_MONTHS_WHO_RECEIVED_A_VITAMIN_A_DOSE_IN_THE_LAST_6_MONTHS,float64,Numeric,110,1,0.9,107
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_RECEIVED_MOST_OF_THEIR_VACCINATIONS_IN_A_PUBLIC_HEALTH_FACILITY,float64,Numeric,107,4,3.6,97
NFHS_5_FACTSHEETS,CHILDREN_AGE_12_23_MONTHS_WHO_RECEIVED_MOST_OF_THEIR_VACCINATIONS_IN_A_PRIVATE_HEALTH_FACILITY,float64,Numeric,107,4,3.6,96
NFHS_5_FACTSHEETS,PREVALENCE_OF_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_CHILDREN_UNDER_AGE_5_YEARS,float64,Time/Year,110,1,0.9,101
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ORAL_REHYDRATION_SALTS_ORS_CHILDREN_UNDER_AGE_5_YEARS,str,Time/Year,111,0,0.0,88
NFHS_5_FACTSHEETS,CHILDREN_WITH_DIARRHOEA_IN_THE_2_WEEKS_PRECEDING_THE_SURVEY_WHO_RECEIVED_ZINC_CHILDREN_UNDER_AGE_5_YEARS,str,Time/Year,111,0,0.0,86
