dataset_name,column_name,total_rows,missing_count,missing_percentage,sample_valid_values
CENSUS_POPULATION_AREA,A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,20018,25,0.12,"1.0, 0.0, 2.0"
CENSUS_POPULATION_AREA,COLUMN_2,20018,20,0.1,"2.0, 0.0, 1.0"
CENSUS_POPULATION_AREA,COLUMN_3,20018,25,0.12,"3.0, 0.0, 1.0"
CENSUS_POPULATION_AREA,COLUMN_4,20018,21,0.1,"India/ State/ Union Territory/ District/ Sub-district, 4, INDIA"
CENSUS_POPULATION_AREA,COLUMN_5,20018,21,0.1,"Name, 5, INDIA @&"
CENSUS_POPULATION_AREA,COLUMN_6,20018,21,0.1,"Total/
Rural/
Urban, 6, Total"
CENSUS_POPULATION_AREA,COLUMN_7,20018,25,0.12,"7.0, 597608.0, 0.0"
CENSUS_POPULATION_AREA,COLUMN_8,20018,25,0.12,"8.0, 43324.0, 0.0"
CENSUS_POPULATION_AREA,COLUMN_9,20018,25,0.12,"9.0, 7933.0, 0.0"
CENSUS_POPULATION_AREA,COLUMN_10,20018,25,0.12,"10.0, 249501663.0, 168612897.0"
CENSUS_POPULATION_AREA,COLUMN_11,20018,25,0.12,"11.0, 1210854977.0, 833748852.0"
CENSUS_POPULATION_AREA,COLUMN_12,20018,25,0.12,"12.0, 623270258.0, 427781058.0"
CENSUS_POPULATION_AREA,COLUMN_13,20018,25,0.12,"13.0, 587584719.0, 405967794.0"
CENSUS_POPULATION_AREA,COLUMN_14,20018,142,0.71,"13.0000000000000000, 3287469.0000000000000000, 3101473.9700000000000000"
CENSUS_POPULATION_AREA,COLUMN_15,20018,142,0.71,"14.0000000000000000, 382.0000000000000000, 279.0000000000000000"
NFHS_5_FACTSHEETS,SEX_RATIO_AT_BIRTH_FOR_CHILDREN_BORN_IN_THE_LAST_FIVE_YEARS_FEMALES_PER_1_000_MALES,111,1,0.9,"924.35, 930.94, 929.16"
NFHS_5_FACTSHEETS,CHILDREN_UNDER_AGE_5_YEARS_WHOSE_BIRTH_WAS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,111,1,0.9,"93.3, 87.53, 89.08"
NFHS_5_FACTSHEETS,DEATHS_IN_THE_LAST_3_YEARS_REGISTERED_WITH_THE_CIVIL_AUTHORITY,111,2,1.8,"83.2, 65.82, 70.75"
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_CLEAN_FUEL_FOR_COOKING3,111,1,0.9,"89.65, 43.21, 58.62"
NFHS_5_FACTSHEETS,HOUSEHOLDS_USING_IODIZED_SALT,111,1,0.9,"96.92, 92.97, 94.28"
NFHS_5_FACTSHEETS,HOUSEHOLDS_WITH_ANY_USUAL_MEMBER_COVERED_UNDER_A_HEALTH_INSURANCE_FINANCING_SCHEME,111,1,0.9,"38.08, 42.44, 40.99"
NFHS_5_FACTSHEETS,CHILDREN_AGE_5_YEARS_WHO_ATTENDED_PRE_PRIMARY_SCHOOL_DURING_THE_SCHOOL_YEAR_2019_20,111,5,4.5,"18.06, 11.98, 13.62"
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_ARE_LITERATE4,111,1,0.9,"89.55, 81.54, 84.37"
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,111,1,0.9,"62.11, 43.72, 50.21"
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,111,1,0.9,"51.78, 24.56, 33.34"
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,111,1,0.9,"72.46, 48.68, 57.14"
NFHS_5_FACTSHEETS,WOMEN_AGE_20_24_YEARS_MARRIED_BEFORE_AGE_18_YEARS,111,1,0.9,"14.69, 27.02, 23.25"
NFHS_5_FACTSHEETS,MEN_AGE_25_29_YEARS_MARRIED_BEFORE_AGE_21_YEARS,111,14,12.61,"11.25, 21.14, 17.67"
NFHS_5_FACTSHEETS,TOTAL_FERTILITY_RATE_NUMBER_OF_CHILDREN_PER_WOMAN,111,1,0.9,"1.63, 2.14, 1.99"
NFHS_5_FACTSHEETS,WOMEN_AGE_15_19_YEARS_WHO_WERE_ALREADY_MOTHERS_OR_PREGNANT_AT_THE_TIME_OF_THE_SURVEY,111,1,0.9,"3.84, 7.93, 6.78"
NFHS_5_FACTSHEETS,NEONATAL_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,111,13,11.71,"17.96, 27.45, 24.91"
NFHS_5_FACTSHEETS,INFANT_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,111,13,11.71,"26.56, 38.36, 35.2"
NFHS_5_FACTSHEETS,UNDER_FIVE_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,111,13,11.71,"31.45, 45.69, 41.86"
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_METHOD6,111,1,0.9,"69.26, 65.55, 66.71"
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_MODERN_METHOD6,111,1,0.9,"58.51, 55.5, 56.45"
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_FEMALE_STERILIZATION,111,1,0.9,"36.31, 38.65, 37.91"
