sl_no,disease_disease_condition,nos_of_outbreaks
1,Acute Diarrheal Disease,356
2,Food Poisoning,184
3,Dengue,79
4,Chickenpox,74
5,Measles,40
6,Fever with Rash,28
7,Viral Hepatitis A,26
8,Cholera,22
9,Leptospirosis,21
10,Chikungunya,17
11,Malaria,17
12,Japanese Encephalitis,16
13,Food Borne Illness,11
14,Diphtheria,9
15,Human Rabies,9
16,Scrub Typhus,8
17,Suspected Food Poisoning,8
18,Pyrexia of unknown origin,7
19,Fever,6
20,Jaundice,5
21,Acute Flaccid Paralysis,4
22,Crimean-Congo Hemorrhagic Fever,4
23,Influenza A H3N2,4
24,Suspected Measles,4
25,Acute Encephalitis Syndrome,3
26,Acute Gastroenteritis,3
27,Hand Foot and Mouth Disease,3
28,Kala Azar,3
29,Kyasanur Forest Disease,3
30,Monkey Pox,3
31,Acute Respiratory Illness,2
32,Cutaneous Leishmaniosis,2
33,Dengue and Chikungunya,2
34,Dengue and Scrub Typhus,2
35,Dysentery,2
36,Fever and URTI,2
37,Mumps,2
38,Mushroom Poisoning,2
39,Shigellosis,2
40,Suspected Chickenpox,2
41,Suspected Dengue,2
42,Suspected Typhoid,2
43,Viral Hepatitis B,2
44,West Nile Fever,2
45,Zika Virus disease,2
46,Acute Meningoencephalitis (Naegleria fowleri),1
47,Allergic Conjunctivitis,1
48,Brucellosis,1
49,Chemical Gas Poisoning,1
50,Enteric Fever,1
51,Fever With Rash (Enterovirus),1
52,Food Poisoning (Noro Virus),1
53,Lyme Disease,1
54,Malaria and Dengue,1
55,Malaria (PV),1
56,Measles and Rubella,1
57,Pertussis,1
58,Rubella,1
59,Seasonal Influenza,1
60,Suspected Acute Viral Hepatitis,1
61,Suspected Filariasis,1
62,Suspected Mumps,1
63,Suspected Swine Flu (H1N1),1
64,Viral Hepatitis,1
65,Viral Hepatitis A and E,1
