A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_2,COLUMN_3,COLUMN_4,COLUMN_5,COLUMN_6,COLUMN_7,COLUMN_8,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12,COLUMN_13,COLUMN_14,COLUMN_15
,,,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",,,,,,,,,
,,,,,,,,,,,,,,
1.0,2.0,3.0,4,5,6,7.0,8.0,9.0,10.0,11.0,12.0,13.0,13.0,14.0
0.0,0.0,0.0,INDIA,INDIA @&,Total,597608.0,43324.0,7933.0,249501663.0,1210854977.0,623270258.0,587584719.0,3287469.0,382.0
0.0,0.0,0.0,INDIA,INDIA $,Rural,597608.0,43324.0,0.0,168612897.0,833748852.0,427781058.0,405967794.0,3101473.97,279.0
0.0,0.0,0.0,INDIA,INDIA $,Urban,0.0,0.0,7933.0,80888766.0,377106125.0,195489200.0,181616925.0,102252.03,3685.0
1.0,0.0,0.0,STATE,JAMMU & KASHMIR @&,Total,6337.0,216.0,122.0,2119718.0,12541302.0,6640662.0,5900640.0,222236.0,124.0
1.0,0.0,0.0,STATE,JAMMU & KASHMIR,Rural,6337.0,216.0,0.0,1553433.0,9108060.0,4774477.0,4333583.0,220990.1,91.0
1.0,0.0,0.0,STATE,JAMMU & KASHMIR,Urban,0.0,0.0,122.0,566285.0,3433242.0,1866185.0,1567057.0,1245.9,2755.0
1.0,1.0,0.0,DISTRICT,Kupwara,Total,353.0,9.0,10.0,113929.0,870354.0,474190.0,396164.0,2379.0,366.0
1.0,1.0,0.0,DISTRICT,Kupwara,Rural,353.0,9.0,0.0,101930.0,765625.0,412038.0,353587.0,2331.66,328.0
1.0,1.0,0.0,DISTRICT,Kupwara,Urban,0.0,0.0,10.0,11999.0,104729.0,62152.0,42577.0,47.34,2212.0
1.0,1.0,1.0,SUB-DISTRICT,Kupwara,Total,118.0,4.0,7.0,63022.0,540914.0,297837.0,243077.0,301.94,1791.0
1.0,1.0,1.0,SUB-DISTRICT,Kupwara,Rural,118.0,4.0,0.0,56014.0,465323.0,252856.0,212467.0,275.03,1692.0
1.0,1.0,1.0,SUB-DISTRICT,Kupwara,Urban,0.0,0.0,7.0,7008.0,75591.0,44981.0,30610.0,26.91,2809.0
1.0,1.0,2.0,SUB-DISTRICT,Handwara,Total,196.0,3.0,1.0,39485.0,269311.0,141882.0,127429.0,291.47,924.0
1.0,1.0,2.0,SUB-DISTRICT,Handwara,Rural,196.0,3.0,0.0,37474.0,255711.0,134503.0,121208.0,282.97,904.0
1.0,1.0,2.0,SUB-DISTRICT,Handwara,Urban,0.0,0.0,1.0,2011.0,13600.0,7379.0,6221.0,8.5,1600.0
1.0,1.0,3.0,SUB-DISTRICT,Karnah,Total,39.0,2.0,2.0,11422.0,60129.0,34471.0,25658.0,69.89,860.0
1.0,1.0,3.0,SUB-DISTRICT,Karnah,Rural,39.0,2.0,0.0,8442.0,44591.0,24679.0,19912.0,57.96,769.0
1.0,1.0,3.0,SUB-DISTRICT,Karnah,Urban,0.0,0.0,2.0,2980.0,15538.0,9792.0,5746.0,11.93,1302.0
1.0,2.0,0.0,DISTRICT,Badgam,Total,462.0,12.0,9.0,103363.0,753745.0,398041.0,355704.0,1361.0,554.0
1.0,2.0,0.0,DISTRICT,Badgam,Rural,462.0,12.0,0.0,89417.0,655833.0,343385.0,312448.0,1311.95,500.0
1.0,2.0,0.0,DISTRICT,Badgam,Urban,0.0,0.0,9.0,13946.0,97912.0,54656.0,43256.0,49.05,1996.0
1.0,2.0,4.0,SUB-DISTRICT,Khag,Total,49.0,0.0,0.0,8799.0,67596.0,34457.0,33139.0,61.12,1106.0
1.0,2.0,4.0,SUB-DISTRICT,Khag,Rural,49.0,0.0,0.0,8799.0,67596.0,34457.0,33139.0,61.12,1106.0
1.0,2.0,4.0,SUB-DISTRICT,Khag,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,5.0,SUB-DISTRICT,Beerwah,Total,102.0,2.0,2.0,20914.0,163333.0,87277.0,76056.0,134.07,1218.0
1.0,2.0,5.0,SUB-DISTRICT,Beerwah,Rural,102.0,2.0,0.0,19161.0,149671.0,80103.0,69568.0,126.77,1181.0
1.0,2.0,5.0,SUB-DISTRICT,Beerwah,Urban,0.0,0.0,2.0,1753.0,13662.0,7174.0,6488.0,7.3,1872.0
1.0,2.0,6.0,SUB-DISTRICT,Khansahib,Total,96.0,3.0,1.0,16432.0,123312.0,64227.0,59085.0,125.91,979.0
1.0,2.0,6.0,SUB-DISTRICT,Khansahib,Rural,96.0,3.0,0.0,16080.0,120682.0,62783.0,57899.0,121.61,992.0
1.0,2.0,6.0,SUB-DISTRICT,Khansahib,Urban,0.0,0.0,1.0,352.0,2630.0,1444.0,1186.0,4.3,612.0
1.0,2.0,7.0,SUB-DISTRICT,Budgam,Total,95.0,2.0,2.0,19774.0,133855.0,70182.0,63673.0,146.16,916.0
1.0,2.0,7.0,SUB-DISTRICT,Budgam,Rural,95.0,2.0,0.0,16517.0,111056.0,57359.0,53697.0,131.44,845.0
1.0,2.0,7.0,SUB-DISTRICT,Budgam,Urban,0.0,0.0,2.0,3257.0,22799.0,12823.0,9976.0,14.72,1549.0
1.0,2.0,8.0,SUB-DISTRICT,Chadoora,Total,104.0,4.0,3.0,30390.0,212233.0,113529.0,98704.0,194.67,1090.0
1.0,2.0,8.0,SUB-DISTRICT,Chadoora,Rural,104.0,4.0,0.0,23904.0,164945.0,86218.0,78727.0,172.74,955.0
1.0,2.0,8.0,SUB-DISTRICT,Chadoora,Urban,0.0,0.0,3.0,6486.0,47288.0,27311.0,19977.0,21.93,2156.0
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief,Total,16.0,1.0,1.0,7054.0,53416.0,28369.0,25047.0,58.85,908.0
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief,Rural,16.0,1.0,0.0,4956.0,41883.0,22465.0,19418.0,58.05,721.0
1.0,2.0,9.0,SUB-DISTRICT,Charar- E- Shrief,Urban,0.0,0.0,1.0,2098.0,11533.0,5904.0,5629.0,0.8,14416.0
1.0,3.0,0.0,DISTRICT,Leh(Ladakh),Total,111.0,1.0,3.0,21909.0,133487.0,78971.0,54516.0,45110.0,3.0
1.0,3.0,0.0,DISTRICT,Leh(Ladakh),Rural,111.0,1.0,0.0,14905.0,87816.0,48411.0,39405.0,45085.99,2.0
1.0,3.0,0.0,DISTRICT,Leh(Ladakh),Urban,0.0,0.0,3.0,7004.0,45671.0,30560.0,15111.0,24.01,1902.0
1.0,3.0,10.0,SUB-DISTRICT,Leh,Total,60.0,1.0,3.0,15497.0,93961.0,56597.0,37364.0,171.06,549.0
1.0,3.0,10.0,SUB-DISTRICT,Leh,Rural,60.0,1.0,0.0,8493.0,48290.0,26037.0,22253.0,147.05,328.0
1.0,3.0,10.0,SUB-DISTRICT,Leh,Urban,0.0,0.0,3.0,7004.0,45671.0,30560.0,15111.0,24.01,1902.0
1.0,3.0,11.0,SUB-DISTRICT,Nubra,Total,28.0,0.0,0.0,3606.0,22433.0,13740.0,8693.0,166.82,134.0
1.0,3.0,11.0,SUB-DISTRICT,Nubra,Rural,28.0,0.0,0.0,3606.0,22433.0,13740.0,8693.0,166.82,134.0
